# 东亚四季场景 — 18城×4季=72条
# 格式: [城市|季节] 描述
# 规则: 无"很/非常/十分/巨大/美丽"，短句，第二人称，现在时，体感，时间流动

[京都|春] 樱花从枝头落下来，粉色的雪。你走在哲学之道上，花瓣落在肩上。鸭川的水浅了，有人坐在河床上看落花。风一吹，花瓣在水面上打转。

[京都|夏] 蝉鸣从四面八方来，像电流声。你走在花见小路上，石板路被太阳晒得发烫。空气黏在皮肤上，衬衫揭不开。远处有人在喊"たこやき"。

[京都|秋] 枫叶红了，东福寺的庭院铺了一层红毯。你踩上去沙沙响。空气冷了，你把手缩进袖子里。清水寺的舞台在红叶里，像一幅画。

[京都|冬] 哲学之道上没有人。石板路上有薄冰，你走得小心。鸭川的水清得见底，冷得发蓝。远处有人在扫雪，扫帚声在巷子里回响。

[东京|春] 上野公园的樱花开了，树下铺满了蓝色防水布。你挤在人群里，有人递给你一杯啤酒。隅田川的风吹过来，花瓣贴在你的脸上。

[东京|夏] 涩谷十字路口的热气从地面升上来。你走进便利店，冷气扑面，眼镜起雾。外面有人撑着阳伞等红绿灯。蝉声盖过了车声。

[东京|秋] 明治神宫的银杏黄了，落叶铺满参道。你踩着叶子走，脚底发出脆响。空气干燥，嘴唇裂了。乌鸦在头顶叫，声音在林子里回荡。

[东京|冬] 新宿的霓虹灯在冷空气里变得更亮。你呼出的气在路灯下可见。拉面店的暖帘掀开，蒸汽和酱油味一起涌出来。你的耳朵冻得发红。

[北海道|春] 雪还没有化完，残雪堆在路边。你走在小樽的运河边，水面漂着碎冰。空气里有咸味，是从港口飘来的。水仙花从雪缝里钻出来，花瓣薄得透光。

[北海道|夏] 富良野的薰衣草田紫到天边。你走在花田里，蜜蜂在耳边嗡嗡响。风带着花香吹过来，鼻子痒痒的。远处的十�的山顶还有雪。

